"id","state","created_by","name","course_id","folder_id"
"144","1","140200267","IK-RDC-GA-044 Proses Permintaan Perbaikan Melalui SPK Online","19","91"
"145","1","170300124","General IT Security Awareness","28","0"
"146","1","170300124","Penggunaan APAR","29","0"
"147","1","170300124","Safety Security K3","30","0"
"148","1","140200267","IK-QHS-MR-022 Pemeriksaan Kesehatan Karyawan R3","19","92"
"149","1","140200267","IK-QHS-MR-027 Tata Cara Akses Masuk Keluar Gudang Coldroom Container Chiller R2","19","93"
"150","1","140200267","IK-QHS-MR-028 Pembersihan Gudang DAn Sarana Penunjang Di gudang R3","19","94"
"151","1","140200267","IK-QHS-MR-055 Kalibrasi Alat Ukur","19","95"
"152","1","140200267","IK-RDC-GA-010 Pengoperasian Rolling Door R2","19","96"
"153","1","140200267","IK-RDC-GA-012 Pengoperasian Dan Perawatan Dock Leveller R1","19","97"
"154","1","140200267","IK-RDC-TRP-029 Pengiriman Barang R10","19","98"
"155","1","140200267","IK-RDC-WHS-004 Penerimaan Barang R16","19","99"
"156","1","140200267","IK-RDC-WHS-010 Penyimpanan R9","19","100"
"157","1","140200267","IK-RDC-WHS-027 Relabelling - Stickering Produk R1","19","101"
"158","1","140200267","SOP-RDC-QS-001 Pengelolaan Limbah B3 & Non B3 R5","19","102"
"159","1","140200267","SOP-QHS-MR-002 Manajemen Audit R15","19","103"
"160","1","140200267","SOP-QHS-MR-018 Prosedur Alat Pelindung Diri R9","19","104"
"161","1","140200267","SOP-QHS-MR-030 Prosedur Penanganan Tumpahan Produk Golongan Sitostatika R5","19","105"
"162","1","140200267","SOP-QHS-MR-035 Prosedur Personal Hygiene Dan Sanitasi R5","19","106"
"163","1","140200267","SOP-QHS-MR-036 Prosedur Pest Control R7","19","107"
"164","1","140200267","SOP-QHS-MR-045 Pemantauan Suhu Penyimpanan R6","19","108"
"165","1","140200267","SOP-QHS-MR-050 Penanganan Produk Psikotropika R5","19","109"
"166","1","140200267","SOP-QHS-MR-060 Kalibrasi Alat Ukur R4","19","110"
"168","1","140200267","IK-QHS-MR-001 IK Tata Cara Pembuatan, Perubahan, Pengesahan & Penomoran Dokumen SOP, IK, Form R18","19","112"
"169","1","140200267","IK-OPR-TRP-011 Pengiriman Produk Rantai Dingain produk Obat Dan Alat Kesehatan R10","19","113"
"170","1","140200267","IK-QHS-MR-041 Tata Cara Penanganan Dokumen Regulatory R1","19","114"
"171","1","140200267","IK-RDC-TRP-023 Keamanan Barang Selama Dalam Pengiriman R4","19","115"
"172","1","140200267","IK-QHS-MR-020 Validasi Pengiriman R3","19","116"
"173","1","140200267","SOP-HRD-CD-001 Sop Promosi, Mutasi & Demosi Karyawan ","19","117"
"174","1","140200267","SOP-OPR-WHS-003 Prosedur Penerimaan Retur Produk Dari Pelanggan R20","19","118"
"175","1","140200267","SOP-CHB-SM2-002 Spreading R6","19","119"
"176","1","140200267","SOP-CHB-SM2-005 Trade Promo Development R5","19","120"
"177","1","140200267","SOP-CHB-SM2-007 Pesanan Tambahan R6","19","121"
"178","1","140200267","SOP-QHS-MR-059 Manajemen Resiko Mutu R2","19","122"
"179","1","140200267","IK-OPR-APJ-014 Tata Laksana SPTT","19","123"
"180","1","140200267","SOP-QHS-MR-062 Government Relation R2","19","124"
"181","1","140200267","SOP-QHS-MR-076 Prosedur Perjanjian Kualitas ( Quality Agreement ) R1","19","125"
"182","1","140200267","SOP-QHS-MR-014 Prosedur Pemantauan Dan Pengukuran Lingkungan Kerja R4","19","126"
"183","1","140200267","SOP-QHS-MR-010 Prosedur Seleksi Kualifikasi & Evaluasi Pihak Ketiga ( Vendor Outsource ) R10","19","127"
"184","1","140200267","SOP-QHS-MR-068 Challenge Test R1","19","128"
"185","1","140200267","SOP-QHS-MR-058 Penanganan Produk OMPF Dan OOT R1","19","129"
"186","1","140200267","SOP-QHS-MR-001 SOP Sasaran Mutu R7","19","130"
"187","1",\N,"IK-RDC-PPS-001 Pembuatan Rencana Pengiriman ( Monthly ) R4","19","131"
"188","1","140200267","SOP-QHS-MR-063 SOP Labeling Atau Relabeling Khusus Alkes R2","19","132"
"189","1","140200267","SOP-QHS-MR-009 Penanganan Keluhan Pelanggan R2","19","133"
"190","1","170300124","BEP 4","31","0"
"191","1","140200267","SOP-PST-IA-010 Risk Assesment Strategic Risk R1","19","134"
"192","1","140200267","IK-PST-IA-010 Risk Appetite Dan Risk Tolerance R1","19","135"
"193","1","140200267","IK-PST-IA-013 Fokus Risk R1","19","136"
"194","1","140200267","IK-SM-CHB-001 Coverage Planning R4","19","137"
"195","1","140200267","IK-SM-CHB-002 Evaluasi Coverage R4","19","138"
"196","1","140200267","IK-SM-CHB-010 AR Collektion R4","19","139"
"197","1","140200267","IK-SM-CHB-012 Produk Portfolio Management R4","19","140"
